时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
五",22.9,22.9,22.9,22.9,-0.82%,0.00%,"71,900","1,646,510",0.005,76
"2022-04-15,五",22.82,22.82,22.72,22.72,-0.79%,0.44%,"375,900","8,564,918",0.025,610
"2022-04-15,五",22.68,22.68,22.59,22.65,-0.31%,0.40%,"454,500","10,284,862",0.031,693
"2022-04-15,五",22.64,22.7,22.64,22.7,0.22%,0.26%,"171,400","3,886,204",0.012,358
"2022-04-15,五",22.71,22.71,22.63,22.63,-0.31%,0.35%,"368,300","8,349,658",0.025,640
"2022-04-15,五",22.61,22.66,22.61,22.66,0.13%,0.22%,"291,300","6,596,234",0.02,358
"2022-04-15,五",22.65,22.65,22.58,22.62,-0.18%,0.31%,"407,800","9,221,865",0.028,688
"2022-04-15,五",22.62,22.65,22.56,22.64,0.09%,0.40%,"304,400","6,881,140",0.021,504
"2022-04-15,五",22.65,22.66,22.59,22.59,-0.22%,0.31%,"177,600","4,019,250",0.012,359
"2022-04-15,五",22.6,22.68,22.59,22.68,0.40%,0.40%,"246,857","5,585,220",0.017,289
"2022-04-15,五",22.68,22.71,22.68,22.69,0.04%,0.13%,"131,900","2,993,785",0.009,196
"2022-04-15,五",22.68,22.71,22.68,22.7,0.04%,0.13%,"146,800","3,330,703",0.01,324
"2022-04-15,五",22.7,22.7,22.66,22.68,-0.09%,0.18%,"216,600","4,913,096",0.015,412
"2022-04-15,五",22.69,22.78,22.68,22.78,0.44%,0.44%,"244,100","5,547,639",0.017,339
"2022-04-15,五",22.74,22.76,22.68,22.68,-0.44%,0.35%,"74,600","1,693,893",0.005,170
"2022-04-15,五",22.69,22.75,22.66,22.75,0.31%,0.40%,"161,900","3,673,813",0.011,328
"2022-04-15,五",22.7,22.74,22.69,22.69,-0.26%,0.22%,"132,900","3,017,335",0.009,330
"2022-04-15,五",22.69,22.69,22.66,22.68,-0.04%,0.13%,"159,800","3,623,707",0.011,266
"2022-04-15,五",22.68,22.69,22.67,22.68,0.00%,0.09%,"148,200","3,360,905",0.01,175
"2022-04-15,五",22.68,22.75,22.68,22.74,0.26%,0.31%,"233,600","5,304,966",0.016,354
"2022-04-15,五",22.76,22.8,22.76,22.79,0.22%,0.18%,"68,100","1,551,431",0.005,170
"2022-04-15,五",22.79,22.84,22.79,22.84,0.22%,0.22%,"91,900","2,095,741",0.006,133
