时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
三",27.26,27.26,27.26,27.26,0.96%,0.00%,"351,200","9,573,712",0.024,415
"2022-04-06,三",27.21,27.21,26.63,26.72,-1.98%,2.13%,"870,300","23,498,680",0.059,1315
"2022-04-06,三",26.67,26.68,26.43,26.43,-1.09%,0.94%,"700,000","18,610,125",0.047,1094
"2022-04-06,三",26.43,26.43,26.32,26.35,-0.30%,0.42%,"624,100","16,460,083",0.042,1017
"2022-04-06,三",26.35,26.36,26.22,26.24,-0.42%,0.53%,"673,589","17,702,090",0.046,1180
"2022-04-06,三",26.24,26.27,26.2,26.25,0.04%,0.27%,"668,011","17,520,719",0.045,1016
"2022-04-06,三",26.22,26.27,26.15,26.18,-0.27%,0.46%,"799,100","20,944,179",0.054,1253
"2022-04-06,三",26.11,26.15,25.91,25.91,-1.03%,0.92%,"921,200","23,952,242",0.062,1422
"2022-04-06,三",25.92,26,25.89,25.97,0.23%,0.42%,"797,200","20,677,560",0.054,1175
"2022-04-06,三",25.96,25.98,25.91,25.95,-0.08%,0.27%,"610,400","15,836,350",0.041,1036
"2022-04-06,三",25.97,25.98,25.9,25.95,0.00%,0.31%,"655,000","16,985,270",0.044,808
"2022-04-06,三",25.95,25.98,25.88,25.92,-0.12%,0.39%,"1,128,200","29,226,930",0.077,1268
"2022-04-06,三",25.92,26.14,25.92,26.12,0.77%,0.85%,"411,394","10,701,770",0.028,646
"2022-04-06,三",26.15,26.19,26.08,26.1,-0.08%,0.42%,"483,576","12,645,050",0.033,673
"2022-04-06,三",26.1,26.15,26.06,26.12,0.08%,0.34%,"298,800","7,800,230",0.02,515
"2022-04-06,三",26.12,26.23,26.09,26.22,0.38%,0.54%,"290,264","7,586,290",0.02,462
"2022-04-06,三",26.25,26.25,26.14,26.23,0.04%,0.42%,"319,080","8,363,380",0.022,501
"2022-04-06,三",26.21,26.22,26.09,26.09,-0.53%,0.50%,"297,020","7,765,270",0.02,381
"2022-04-06,三",26.08,26.1,26.07,26.08,-0.04%,0.11%,"206,300","5,380,010",0.014,366
"2022-04-06,三",26.08,26.09,26.05,26.06,-0.08%,0.15%,"222,900","5,810,930",0.015,285
"2022-04-06,三",26.06,26.12,26.06,26.12,0.23%,0.23%,"107,400","2,802,490",0.007,193
"2022-04-06,三",26.12,26.12,26.04,26.05,-0.27%,0.31%,"249,400","6,501,910",0.017,456
"2022-04-06,三",26.05,26.1,26.04,26.1,0.19%,0.23%,"125,002","3,257,350",0.008,207
