时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-04-13,三",465.89,465.89,465.89,465.89,-1.29%,0.00%,"64,200","29,910,138",0.003,321
"2022-04-13,三",465.5,465.5,462.89,463.98,-0.41%,0.56%,"246,687","114,594,040",0.012,1010
"2022-04-13,三",463.34,464.07,462,464.07,0.02%,0.45%,"135,644","62,779,754",0.007,784
"2022-04-13,三",465,465,462.77,463.31,-0.16%,0.48%,"65,932","30,548,876",0.003,446
"2022-04-13,三",463,463.51,462.6,463.19,-0.03%,0.20%,"77,057","35,680,962",0.004,508
"2022-04-13,三",463.2,467.46,463.2,466.92,0.81%,0.92%,"111,484","51,886,602",0.005,534
"2022-04-13,三",467,467,465.43,465.43,-0.32%,0.34%,"70,521","32,897,019",0.003,435
"2022-04-13,三",465.06,467.4,465.05,467.4,0.42%,0.50%,"61,600","28,709,299",0.003,344
"2022-04-13,三",467.4,468.55,467,468.17,0.16%,0.33%,"73,400","34,289,955",0.004,423
"2022-04-13,三",468.15,468.17,467.19,467.19,-0.21%,0.21%,"65,000","30,402,741",0.003,301
"2022-04-13,三",467.25,468.77,467.1,468.66,0.31%,0.36%,"44,900","21,002,666",0.002,267
"2022-04-13,三",468.97,469.4,467.2,467.23,-0.31%,0.47%,"74,800","35,053,943",0.004,427
"2022-04-13,三",467.2,467.2,465.57,465.73,-0.32%,0.35%,"52,900","24,660,011",0.003,333
"2022-04-13,三",465.3,467,465.3,465.76,0.01%,0.37%,"71,900","33,488,712",0.004,355
"2022-04-13,三",466,466,464.86,465.29,-0.10%,0.24%,"61,300","28,524,955",0.003,353
"2022-04-13,三",465.3,465.78,464.86,464.86,-0.09%,0.20%,"25,700","11,955,858",0.001,174
"2022-04-13,三",464.86,467.5,464.81,466.8,0.42%,0.58%,"48,200","22,463,797",0.002,276
"2022-04-13,三",466.96,468,466.77,468,0.26%,0.26%,"37,900","17,712,424",0.002,214
"2022-04-13,三",468.4,469.69,467.98,469.58,0.34%,0.37%,"72,443","33,946,136",0.004,419
"2022-04-13,三",469.82,470,467.46,467.97,-0.34%,0.54%,"46,200","21,671,576",0.002,279
"2022-04-13,三",467.97,467.97,467.14,467.37,-0.13%,0.18%,"23,800","11,126,405",0.001,140
"2022-04-13,三",467.32,469.44,467.14,468.98,0.34%,0.49%,"43,900","20,562,755",0.002,261
"2022-04-13,三",469.4,469.4,468.8,469.38,0.09%,0.13%,"59,900","28,109,771",0.003,367
"2022-04-13,三",469,469.34,467.28,467.29,-0.45%,0.44%,"40,200","18,837,366",0.002,231
"2022-04-13,三",467.29,468.28,467.29,468.04,0.16%,0.21%,"19,600","9,168,384",0.001,143
"2022-04-13,三",468,468.34,466.6,466.6,-0.31%,0.37%,"30,957","14,470,586",0.002,246
"2022-04-13,三",466.95,466.95,466.5,466.53,-0.02%,0.10%,"50,500","23,566,564",0.002,308
"2022-04-13,三",466.55,468.8,466.55,468.35,0.39%,0.48%,"27,500","12,851,625",0.001,171
"2022-04-13,三",468.35,468.35,466.84,467,-0.29%,0.32%,"27,400","12,809,939",0.001,206
"2022-04-13,三",467,467,466.06,466.06,-0.20%,0.20%,"23,800","11,105,026",0.001,147
"2022-04-13,三",465.7,467.31,465.66,467.02,0.21%,0.35%,"44,000","20,518,270",0.002,244
"2022-04-13,三",467.01,468,466.12,467.5,0.10%,0.40%,"37,500","17,504,389",0.002,223
"2022-04-13,三",467.87,467.97,467.5,467.8,0.06%,0.10%,"47,700","22,313,935",0.002,230
"2022-04-13,三",467.52,467.88,467.13,467.69,-0.02%,0.16%,"18,200","8,507,749",0.001,120
"2022-04-13,三",467.88,468,466,466,-0.36%,0.43%,"54,300","25,355,176",0.003,299
"2022-04-13,三",466.08,466.08,465.16,465.16,-0.18%,0.20%,"66,600","30,993,897",0.003,383
"2022-04-13,三",465.16,467.74,465.08,465.5,0.07%,0.57%,"48,400","22,524,620",0.002,250
"2022-04-13,三",465.03,465.5,464.39,464.59,-0.20%,0.24%,"44,400","20,643,953",0.002,273
"2022-04-13,三",464,464,463.3,463.98,-0.13%,0.15%,"83,200","38,563,464",0.004,474
"2022-04-13,三",463.6,464.14,463.59,463.8,-0.04%,0.12%,"72,900","33,780,459",0.004,288
"2022-04-13,三",463.79,466.5,463.79,466.15,0.51%,0.58%,"34,300","15,940,259",0.002,198
"2022-04-13,三",465.99,465.99,464.59,464.61,-0.33%,0.30%,"24,800","11,529,497",0.001,145
"2022-04-13,三",464.61,465.6,464.12,465,0.08%,0.32%,"38,900","18,087,196",0.002,201
"2022-04-13,三",465,466,464.97,465.51,0.11%,0.22%,"28,300","13,169,548",0.001,191
"2022-04-13,三",465.71,465.71,465.07,465.07,-0.09%,0.14%,"25,400","11,816,972",0.001,116
"2022-04-13,三",465.06,465.4,465,465.4,0.07%,0.09%,"18,785","8,739,021",0.001,109
"2022-04-13,三",465.21,465.4,465.2,465.2,-0.04%,0.04%,"15,415","7,172,749",0.001,93
"2022-04-13,三",465.2,465.38,464.76,465.38,0.04%,0.13%,"97,300","45,178,698",0.005,276
"2022-04-13,三",465.71,466.97,465.4,466.97,0.34%,0.34%,"36,900","17,212,957",0.002,240
