时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-03-25,五",511.92,511.92,511.92,511.92,-0.40%,0.00%,"71,600","36,653,472",0.004,224
"2022-03-25,五",511.92,513,510.11,511.91,0.00%,0.56%,"127,700","65,343,870",0.006,606
"2022-03-25,五",510.24,511.89,509.13,510.53,-0.27%,0.54%,"117,500","59,929,326",0.006,444
"2022-03-25,五",510.23,515,509.95,513.09,0.50%,0.99%,"168,520","86,181,562",0.008,632
"2022-03-25,五",511.68,514.2,511.68,514.18,0.21%,0.49%,"75,309","38,650,348",0.004,379
"2022-03-25,五",515.06,515.5,513.96,514.95,0.15%,0.30%,"84,507","43,491,000",0.004,534
"2022-03-25,五",514.99,515.83,514.9,514.9,-0.01%,0.18%,"78,500","40,431,493",0.004,398
"2022-03-25,五",514.8,514.81,513.22,513.24,-0.32%,0.31%,"44,600","22,925,597",0.002,278
"2022-03-25,五",513.76,514.5,513.53,514.5,0.25%,0.19%,"53,513","27,495,625",0.003,270
"2022-03-25,五",514.35,514.66,514.1,514.5,0.00%,0.11%,"36,209","18,627,612",0.002,232
"2022-03-25,五",514.95,515.3,514.54,515.3,0.16%,0.15%,"74,629","38,431,301",0.004,428
"2022-03-25,五",515.31,517.3,515.31,517.05,0.34%,0.39%,"94,001","48,530,020",0.005,574
"2022-03-25,五",517.15,518.18,516.82,516.82,-0.04%,0.26%,"122,500","63,402,984",0.006,635
"2022-03-25,五",516.84,516.84,515.67,516,-0.16%,0.23%,"65,400","33,764,157",0.003,423
"2022-03-25,五",515.92,516.03,515.8,516,0.00%,0.04%,"47,400","24,457,077",0.002,308
"2022-03-25,五",515.5,516.27,515.5,516.06,0.01%,0.15%,"43,100","22,237,713",0.002,269
"2022-03-25,五",516.34,518,516.27,517.59,0.30%,0.34%,"98,400","50,923,600",0.005,485
"2022-03-25,五",517.38,517.38,515.2,515.2,-0.46%,0.42%,"44,100","22,769,944",0.002,256
"2022-03-25,五",515.57,516,515.56,515.82,0.12%,0.09%,"53,600","27,645,178",0.003,233
"2022-03-25,五",515.8,515.96,515.3,515.3,-0.10%,0.13%,"53,100","27,384,822",0.003,207
"2022-03-25,五",515.3,515.3,513.32,513.4,-0.37%,0.38%,"29,698","15,268,882",0.001,227
"2022-03-25,五",513.6,515.2,513.4,514.99,0.31%,0.35%,"24,102","12,387,342",0.001,189
"2022-03-25,五",514.99,515.55,514.62,515.5,0.10%,0.18%,"39,700","20,443,130",0.002,198
"2022-03-25,五",515.05,515.39,515.05,515.15,-0.07%,0.07%,"13,100","6,748,511",0.001,98
"2022-03-25,五",515.38,515.4,515.03,515.06,-0.02%,0.07%,"16,200","8,345,876",0.001,125
"2022-03-25,五",515.38,516.56,515.1,516.22,0.23%,0.28%,"40,932","21,112,909",0.002,194
"2022-03-25,五",516.56,516.67,516,516,-0.04%,0.13%,"23,400","12,084,310",0.001,159
"2022-03-25,五",515.8,516,515.1,515.1,-0.17%,0.17%,"22,400","11,549,114",0.001,114
"2022-03-25,五",515.54,515.54,515,515.05,-0.01%,0.10%,"16,800","8,653,881",0.001,120
"2022-03-25,五",514.93,514.93,514.15,514.17,-0.17%,0.15%,"17,900","9,210,638",0.001,132
"2022-03-25,五",514.3,514.39,514.09,514.37,0.04%,0.06%,"21,200","10,903,066",0.001,105
"2022-03-25,五",514.3,514.3,512.39,512.5,-0.36%,0.37%,"30,300","15,550,625",0.001,211
"2022-03-25,五",512.75,514.15,512.51,513.5,0.20%,0.32%,"22,400","11,494,277",0.001,153
"2022-03-25,五",513.9,513.9,513.22,513.77,0.05%,0.13%,"19,800","10,167,243",0.001,123
"2022-03-25,五",513.88,514.15,513.77,513.8,0.01%,0.07%,"15,100","7,760,126",0.001,93
"2022-03-25,五",513.78,513.85,513.22,513.22,-0.11%,0.12%,"19,100","9,810,182",0.001,123
"2022-03-25,五",513.2,513.22,511.88,512,-0.24%,0.26%,"36,300","18,606,517",0.002,235
"2022-03-25,五",511.57,512.05,511.4,512,0.00%,0.13%,"37,200","19,042,023",0.002,176
"2022-03-25,五",512,512.8,511.88,512.8,0.16%,0.18%,"39,000","19,982,028",0.002,144
"2022-03-25,五",512.22,512.99,511.69,511.69,-0.22%,0.25%,"49,700","25,463,284",0.002,178
"2022-03-25,五",512.01,512.19,511.69,511.71,0.00%,0.10%,"26,895","13,766,330",0.001,148
"2022-03-25,五",512,513,511.91,512.01,0.06%,0.21%,"49,400","25,327,680",0.002,214
"2022-03-25,五",512.5,512.85,512.03,512.16,0.03%,0.16%,"21,500","11,014,509",0.001,132
"2022-03-25,五",512.1,512.1,511.71,511.77,-0.08%,0.08%,"26,000","13,310,569",0.001,144
"2022-03-25,五",511.78,511.78,511.68,511.7,-0.01%,0.02%,"14,500","7,419,912",0.001,119
"2022-03-25,五",511.71,511.71,510.5,510.5,-0.23%,0.24%,"62,105","31,746,633",0.003,313
"2022-03-25,五",510.42,511,510.33,510.84,0.07%,0.13%,"26,800","13,685,099",0.001,170
"2022-03-25,五",510.8,511.22,510.66,511.22,0.07%,0.11%,"13,100","6,693,550",0.001,102
"2022-03-25,五",511.34,512.4,511.21,511.8,0.11%,0.23%,"23,900","12,230,364",0.001,124
"2022-03-25,五",511.81,512.39,511.43,511.74,-0.01%,0.19%,"42,600","21,807,851",0.002,182
"2022-03-25,五",511.99,512.1,511.76,511.76,0.00%,0.07%,"26,100","13,364,357",0.001,174
"2022-03-25,五",511.6,511.65,510.7,510.7,-0.21%,0.19%,"32,600","16,660,406",0.002,201
"2022-03-25,五",510.7,512,510.62,512,0.25%,0.27%,"48,676","24,885,225",0.002,260
"2022-03-25,五",512.1,512.1,510.91,511.01,-0.19%,0.23%,"21,600","11,053,249",0.001,125
"2022-03-25,五",511.01,511.68,510.8,510.8,-0.04%,0.17%,"31,400","16,044,115",0.002,187
"2022-03-25,五",510.8,512,510.8,512,0.23%,0.23%,"37,800","19,324,866",0.002,147
"2022-03-25,五",511.5,512,510.95,511,-0.20%,0.21%,"33,200","16,977,279",0.002,172
"2022-03-25,五",510.82,511,510.7,510.72,-0.05%,0.06%,"36,500","18,645,691",0.002,192
