时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-04-15,五",451.14,451.14,451.14,451.14,-1.88%,0.00%,"42,300","19,083,222",0.002,233
"2022-04-15,五",450.96,453,443.11,443.58,-1.68%,2.19%,"445,700","199,380,530",0.022,2325
"2022-04-15,五",443.49,444.8,443.02,443.66,0.02%,0.40%,"272,729","121,099,878",0.013,1697
"2022-04-15,五",443.8,444.4,443.2,443.9,0.05%,0.27%,"243,200","107,897,990",0.012,1277
"2022-04-15,五",443.52,443.82,441.23,441.64,-0.51%,0.58%,"289,571","128,231,635",0.014,1872
"2022-04-15,五",441.52,441.52,439.78,439.8,-0.42%,0.39%,"313,300","137,948,610",0.015,1650
"2022-04-15,五",439.5,441,439,440.9,0.25%,0.45%,"297,029","130,657,518",0.015,1300
"2022-04-15,五",441,441.79,440.93,441.21,0.07%,0.20%,"196,200","86,552,376",0.01,1145
"2022-04-15,五",441.2,441.29,439.02,439.02,-0.50%,0.51%,"316,500","139,335,410",0.016,1591
"2022-04-15,五",439.01,439.66,438.61,439.4,0.09%,0.24%,"280,915","123,360,310",0.014,1522
"2022-04-15,五",439.39,439.39,439.05,439.09,-0.07%,0.08%,"211,893","93,052,222",0.01,1125
"2022-04-15,五",439.17,439.22,438.86,438.88,-0.05%,0.08%,"258,090","113,312,583",0.013,1427
"2022-04-15,五",438.8,438.88,438,438.24,-0.15%,0.20%,"127,610","55,957,634",0.006,864
"2022-04-15,五",438.1,438.1,436.77,436.94,-0.30%,0.30%,"151,200","66,169,881",0.007,1021
"2022-04-15,五",436.79,437.16,435.91,436.4,-0.12%,0.29%,"362,319","158,151,110",0.018,1614
"2022-04-15,五",436.4,437.78,436.2,437.78,0.32%,0.36%,"246,101","107,500,611",0.012,1122
"2022-04-15,五",437.68,437.9,437.32,437.9,0.03%,0.13%,"154,900","67,778,617",0.008,923
"2022-04-15,五",437.71,438.01,437.6,437.61,-0.07%,0.09%,"130,200","57,002,888",0.006,836
"2022-04-15,五",437.54,438.1,437.54,438.09,0.11%,0.13%,"108,091","47,323,361",0.005,697
"2022-04-15,五",438.1,440,438.02,440,0.44%,0.45%,"105,500","46,265,674",0.005,560
"2022-04-15,五",440,441.66,440,441.66,0.38%,0.38%,"118,400","52,217,098",0.006,677
"2022-04-15,五",441.8,442,441.29,442,0.08%,0.16%,"121,200","53,512,953",0.006,714
"2022-04-15,五",441.99,442.99,441.99,442.56,0.13%,0.23%,"165,500","73,213,273",0.008,745
"2022-04-15,五",442.8,442.9,441.32,441.32,-0.28%,0.36%,"131,600","58,222,741",0.006,717
"2022-04-15,五",441,441.67,441,441.67,0.08%,0.15%,"84,100","37,107,334",0.004,486
"2022-04-15,五",441.67,444.44,441.67,444.44,0.63%,0.63%,"95,800","42,383,426",0.005,544
"2022-04-15,五",444.16,445.45,444.16,445.01,0.13%,0.29%,"103,300","45,969,292",0.005,723
"2022-04-15,五",445.01,445.3,443.93,444.01,-0.22%,0.31%,"91,400","40,633,778",0.004,610
"2022-04-15,五",444.14,444.2,442.31,442.38,-0.37%,0.43%,"138,600","61,399,288",0.007,662
"2022-04-15,五",442.39,442.8,442.18,442.18,-0.05%,0.14%,"76,300","33,764,414",0.004,483
"2022-04-15,五",442.3,442.31,441.81,441.81,-0.08%,0.11%,"82,000","36,245,783",0.004,494
"2022-04-15,五",441.94,442.36,441.8,442.36,0.12%,0.13%,"83,260","36,798,914",0.004,577
"2022-04-15,五",442.46,442.95,442.36,442.73,0.08%,0.13%,"100,400","44,447,502",0.005,538
"2022-04-15,五",442.81,445.2,442.8,445.2,0.56%,0.54%,"75,150","33,362,533",0.004,507
"2022-04-15,五",445.3,445.3,444.19,444.19,-0.23%,0.25%,"76,600","34,064,599",0.004,549
"2022-04-15,五",444.36,444.36,443.2,443.2,-0.22%,0.26%,"85,500","37,934,247",0.004,444
"2022-04-15,五",443.19,443.19,442.73,442.73,-0.11%,0.10%,"80,700","35,747,123",0.004,447
"2022-04-15,五",442.73,442.73,442.23,442.38,-0.08%,0.11%,"53,000","23,449,277",0.003,413
"2022-04-15,五",442.4,442.53,442.31,442.4,0.00%,0.05%,"55,500","24,551,803",0.003,409
"2022-04-15,五",442.4,442.4,441.5,441.5,-0.20%,0.20%,"90,000","39,785,827",0.004,565
"2022-04-15,五",441.5,442.26,441.4,441.92,0.10%,0.19%,"92,300","40,773,436",0.005,470
"2022-04-15,五",441.9,441.91,441.43,441.55,-0.08%,0.11%,"62,200","27,467,160",0.003,416
"2022-04-15,五",441.46,441.55,441.13,441.47,-0.02%,0.10%,"75,302","33,229,483",0.004,469
"2022-04-15,五",441.9,442.48,441.39,442.48,0.23%,0.25%,"58,400","25,811,761",0.003,291
"2022-04-15,五",442.47,442.47,441.5,441.52,-0.22%,0.22%,"40,100","17,716,551",0.002,248
"2022-04-15,五",441.6,441.8,441.37,441.37,-0.03%,0.10%,"25,400","11,215,266",0.001,213
"2022-04-15,五",441.4,441.4,441.1,441.22,-0.03%,0.07%,"61,802","27,274,722",0.003,455
"2022-04-15,五",441.36,442,441.21,442,0.18%,0.18%,"67,841","29,957,255",0.003,352
"2022-04-15,五",441.73,442.3,441.73,442.22,0.05%,0.13%,"36,300","16,046,651",0.002,265
"2022-04-15,五",442.05,442.18,442.05,442.06,-0.04%,0.03%,"39,500","17,464,175",0.002,273
"2022-04-15,五",442.05,442.05,442,442.05,0.00%,0.01%,"97,200","42,964,762",0.005,409
"2022-04-15,五",442.11,443,442.1,443,0.21%,0.20%,"40,720","18,027,462",0.002,237
"2022-04-15,五",443.41,443.41,442.8,442.99,0.00%,0.14%,"40,500","17,938,936",0.002,267
"2022-04-15,五",443.4,443.73,442.86,443.52,0.12%,0.20%,"32,300","14,322,556",0.002,215
"2022-04-15,五",443.5,443.5,442.86,442.86,-0.15%,0.14%,"52,300","23,179,859",0.003,292
"2022-04-15,五",442.89,442.91,441.66,441.66,-0.27%,0.28%,"84,000","37,140,969",0.004,342
"2022-04-15,五",441.62,441.7,441.53,441.53,-0.03%,0.04%,"86,500","38,199,242",0.004,279
"2022-04-15,五",441.57,441.57,440.4,440.43,-0.25%,0.26%,"92,859","40,955,731",0.005,496
"2022-04-15,五",440.36,440.36,439.33,439.33,-0.25%,0.23%,"126,300","55,568,864",0.006,641
"2022-04-15,五",439.2,439.2,437.88,437.88,-0.33%,0.30%,"122,600","53,752,184",0.006,609
"2022-04-15,五",437.88,438.18,437.77,438,0.03%,0.09%,"151,200","66,181,280",0.007,752
"2022-04-15,五",437.87,438.2,437.8,437.8,-0.05%,0.09%,"92,029","40,301,383",0.005,494
"2022-04-15,五",437.87,437.87,437.11,437.11,-0.16%,0.17%,"47,871","20,944,065",0.002,334
"2022-04-15,五",437,437,436.67,436.75,-0.08%,0.08%,"143,400","62,647,321",0.007,777
"2022-04-15,五",436.75,436.75,436.54,436.6,-0.03%,0.05%,"60,914","26,594,995",0.003,424
"2022-04-15,五",436.6,437.05,436.6,437.05,0.10%,0.10%,"77,900","34,021,557",0.004,424
"2022-04-15,五",437.05,438.04,437.05,437.83,0.18%,0.23%,"68,800","30,118,652",0.003,355
"2022-04-15,五",437.98,438.03,437.8,437.83,0.00%,0.05%,"42,300","18,524,811",0.002,337
"2022-04-15,五",437.84,438.5,437.77,438.3,0.11%,0.17%,"50,773","22,240,210",0.002,278
"2022-04-15,五",438.3,438.99,438.1,438.11,-0.04%,0.20%,"35,000","15,345,546",0.002,259
"2022-04-15,五",438.11,438.28,438.11,438.28,0.04%,0.04%,"34,500","15,118,577",0.002,201
"2022-04-15,五",438.26,438.69,438.26,438.32,0.01%,0.10%,"31,800","13,941,071",0.002,251
"2022-04-15,五",438.65,438.65,438.32,438.49,0.04%,0.08%,"46,500","20,387,951",0.002,316
"2022-04-15,五",438.5,438.5,438.2,438.2,-0.07%,0.07%,"63,200","27,703,145",0.003,295
"2022-04-15,五",438.3,438.3,436.9,436.99,-0.28%,0.32%,"69,900","30,584,064",0.003,517
"2022-04-15,五",436.89,436.89,436.6,436.6,-0.09%,0.07%,"92,200","40,265,158",0.005,491
"2022-04-15,五",436.5,436.5,436.08,436.08,-0.12%,0.10%,"100,086","43,661,598",0.005,584
"2022-04-15,五",436.08,436.08,435.66,435.69,-0.09%,0.10%,"182,700","79,652,584",0.009,1137
"2022-04-15,五",435.65,435.66,435.28,435.32,-0.08%,0.09%,"65,000","28,305,997",0.003,361
"2022-04-15,五",435.29,435.29,435.01,435.03,-0.07%,0.06%,"102,200","44,467,365",0.005,598
"2022-04-15,五",435.08,435.35,435.08,435.35,0.07%,0.06%,"180,000","78,324,846",0.009,862
"2022-04-15,五",435.38,435.95,435.35,435.95,0.14%,0.14%,"64,900","28,272,204",0.003,420
"2022-04-15,五",436.01,437.51,435.96,437.51,0.36%,0.36%,"48,100","21,009,652",0.002,327
"2022-04-15,五",437.5,437.83,436.84,437.1,-0.09%,0.23%,"41,200","18,015,129",0.002,212
"2022-04-15,五",437.24,437.85,437.24,437.5,0.09%,0.14%,"20,600","9,013,325",0.001,157
"2022-04-15,五",437.84,438.18,437.51,438.06,0.13%,0.15%,"28,200","12,350,082",0.001,215
"2022-04-15,五",438.11,438.7,437.85,438.21,0.03%,0.19%,"34,949","15,313,281",0.002,246
"2022-04-15,五",438.42,438.99,438.21,438.98,0.18%,0.18%,"39,000","17,104,879",0.002,230
"2022-04-15,五",438.96,439.77,438.81,438.81,-0.04%,0.22%,"39,900","17,515,564",0.002,272
"2022-04-15,五",438.74,438.79,438.5,438.5,-0.07%,0.07%,"40,200","17,633,582",0.002,227
"2022-04-15,五",438.52,438.52,438.13,438.13,-0.08%,0.09%,"38,400","16,830,125",0.002,196
"2022-04-15,五",438.01,438.14,437.92,438.12,0.00%,0.05%,"45,200","19,797,291",0.002,319
"2022-04-15,五",437.98,438.12,437.85,437.85,-0.06%,0.06%,"44,382","19,437,784",0.002,243
"2022-04-15,五",437.87,437.87,437,437,-0.19%,0.20%,"43,200","18,899,731",0.002,174
"2022-04-15,五",437,437.06,436.8,437,0.00%,0.06%,"51,200","22,372,701",0.003,249
"2022-04-15,五",436.85,437.35,436.85,437.23,0.05%,0.11%,"52,862","23,111,111",0.003,325
