时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-03-15,二",461,461,461,461,-0.43%,0.00%,"313,024","144,304,060",0.015,585
"2022-03-15,二",459.88,462,455.57,458.87,-0.46%,1.39%,"704,365","323,151,160",0.035,2076
"2022-03-15,二",458.96,458.96,455.21,455.21,-0.80%,0.82%,"363,602","166,273,150",0.018,1367
"2022-03-15,二",455.11,455.12,451.25,451.69,-0.77%,0.85%,"339,600","154,178,430",0.017,1306
"2022-03-15,二",451.26,454.45,450.6,452.98,0.29%,0.85%,"538,500","243,505,170",0.026,1849
"2022-03-15,二",452.5,453.12,452.41,453.06,0.02%,0.16%,"326,651","147,923,390",0.016,1224
"2022-03-15,二",453.07,453.24,452,453.24,0.04%,0.27%,"264,149","119,535,781",0.013,1188
"2022-03-15,二",454.38,454.75,453.14,454.73,0.33%,0.36%,"280,000","127,074,774",0.014,988
"2022-03-15,二",455.14,456.78,455.14,456.46,0.38%,0.36%,"197,202","89,965,157",0.01,816
"2022-03-15,二",456.8,457.66,456.47,456.55,0.02%,0.26%,"146,600","66,996,970",0.007,760
"2022-03-15,二",456.38,456.53,455.17,455.25,-0.28%,0.30%,"161,651","73,727,464",0.008,786
"2022-03-15,二",455.21,459.95,455.21,458.96,0.81%,1.04%,"181,200","83,017,111",0.009,834
"2022-03-15,二",459.8,461.48,459.63,460.52,0.34%,0.40%,"461,100","212,413,810",0.023,1334
"2022-03-15,二",462,463.5,460.87,463.2,0.58%,0.57%,"321,376","148,500,300",0.016,1148
"2022-03-15,二",463.99,467,463.99,466.75,0.77%,0.65%,"235,700","109,821,015",0.012,1127
"2022-03-15,二",466.53,466.6,464.68,464.94,-0.39%,0.41%,"185,600","86,405,663",0.009,849
"2022-03-15,二",464.87,466,463.71,465.04,0.02%,0.49%,"174,300","81,005,371",0.009,809
"2022-03-15,二",464.97,466.98,464.97,466.98,0.42%,0.43%,"192,299","89,587,532",0.009,655
"2022-03-15,二",466.6,467.79,466.6,467.11,0.03%,0.25%,"201,999","94,392,529",0.01,976
"2022-03-15,二",467.55,468,466.41,466.41,-0.15%,0.34%,"178,100","83,213,529",0.009,790
"2022-03-15,二",466.01,466.21,465.7,465.94,-0.10%,0.11%,"104,300","48,609,754",0.005,561
"2022-03-15,二",465.96,468.87,465.96,468.35,0.52%,0.62%,"107,254","50,107,180",0.005,653
"2022-03-15,二",468.55,472,468.55,470.78,0.52%,0.74%,"216,901","102,101,789",0.011,1035
"2022-03-15,二",470.78,470.78,467.95,467.96,-0.60%,0.60%,"122,900","57,695,806",0.006,704
"2022-03-15,二",467.5,467.5,465,465,-0.63%,0.53%,"100,100","46,681,465",0.005,559
"2022-03-15,二",465.9,466.5,465.9,466.05,0.23%,0.13%,"96,000","44,744,924",0.005,505
"2022-03-15,二",465.12,465.48,464.07,464.07,-0.42%,0.30%,"125,800","58,470,401",0.006,713
"2022-03-15,二",464.35,464.35,462.44,462.71,-0.29%,0.41%,"112,100","51,907,709",0.005,561
"2022-03-15,二",462.53,465,462.53,465,0.49%,0.53%,"135,210","62,652,771",0.007,613
"2022-03-15,二",464.11,465.23,464.1,464.9,-0.02%,0.24%,"113,000","52,518,855",0.006,614
"2022-03-15,二",465.04,465.9,464.9,465.8,0.19%,0.22%,"74,500","34,676,615",0.004,423
"2022-03-15,二",465.38,465.8,465.01,465.63,-0.04%,0.17%,"94,137","43,809,082",0.005,537
"2022-03-15,二",465.57,465.9,464,464,-0.35%,0.41%,"48,054","22,331,163",0.002,331
"2022-03-15,二",464.52,464.8,463.86,463.97,-0.01%,0.20%,"52,422","24,333,660",0.003,371
"2022-03-15,二",463.97,463.97,462.7,463,-0.21%,0.27%,"63,708","29,509,654",0.003,409
"2022-03-15,二",463,465,463,464.65,0.36%,0.43%,"60,955","28,280,406",0.003,316
"2022-03-15,二",465.25,467.32,465.25,467.32,0.57%,0.45%,"66,498","31,009,707",0.003,374
"2022-03-15,二",467.8,467.8,466.8,467.01,-0.07%,0.21%,"85,100","39,763,001",0.004,320
"2022-03-15,二",467.01,469.96,467,469.96,0.63%,0.63%,"103,700","48,575,305",0.005,427
"2022-03-15,二",469.92,470.5,469.89,470.37,0.09%,0.13%,"117,000","54,994,900",0.006,619
"2022-03-15,二",470.29,471,470,471,0.13%,0.21%,"103,256","48,595,043",0.005,585
"2022-03-15,二",471.03,473.9,470.8,473.87,0.61%,0.66%,"207,800","98,118,340",0.01,1073
"2022-03-15,二",473.94,475.46,473.94,475.25,0.29%,0.32%,"233,130","110,719,188",0.011,1277
"2022-03-15,二",475.25,475.5,474.6,474.99,-0.05%,0.19%,"220,400","104,714,557",0.011,1431
"2022-03-15,二",475.01,477.45,475.01,476.99,0.42%,0.51%,"158,600","75,536,578",0.008,1046
"2022-03-15,二",477,477.45,476.21,476.21,-0.16%,0.26%,"174,700","83,321,286",0.009,909
"2022-03-15,二",476.58,477.33,476.04,477.33,0.24%,0.27%,"125,700","59,920,478",0.006,778
"2022-03-15,二",477.6,479.02,477.6,479.02,0.35%,0.30%,"174,532","83,480,092",0.009,1014
"2022-03-15,二",479.2,479.98,479.11,479.97,0.20%,0.18%,"152,342","73,067,563",0.007,777
"2022-03-15,二",480.03,480.43,479.45,479.8,-0.04%,0.20%,"384,458","184,515,260",0.019,1858
"2022-03-15,二",479.81,479.98,479.71,479.71,-0.02%,0.06%,"170,100","81,631,679",0.008,855
"2022-03-15,二",479.74,481.29,479.74,480.27,0.12%,0.32%,"190,000","91,287,289",0.009,1055
"2022-03-15,二",479.99,480.5,475.8,475.8,-0.93%,0.98%,"178,368","85,326,757",0.009,825
"2022-03-15,二",476.51,477.19,476.13,477.17,0.29%,0.22%,"116,800","55,690,214",0.006,667
"2022-03-15,二",477.17,477.17,476.5,477,-0.04%,0.14%,"64,900","30,958,466",0.003,431
"2022-03-15,二",477.19,480,476,476.5,-0.10%,0.84%,"97,341","46,611,491",0.005,541
"2022-03-15,二",478.36,478.36,475,475.69,-0.17%,0.71%,"87,600","41,714,776",0.004,489
"2022-03-15,二",475.05,475.99,475.05,475.99,0.06%,0.20%,"52,600","25,029,229",0.003,324
"2022-03-15,二",475.94,475.98,475.4,475.4,-0.12%,0.12%,"43,200","20,556,340",0.002,287
"2022-03-15,二",475.5,477.68,475.5,477.42,0.42%,0.46%,"80,188","38,183,471",0.004,407
"2022-03-15,二",477.37,478.94,477.37,478.69,0.27%,0.33%,"57,800","27,624,272",0.003,334
"2022-03-15,二",478.99,478.99,478,478,-0.14%,0.21%,"101,600","48,621,786",0.005,578
"2022-03-15,二",479,479.68,478.87,479,0.21%,0.17%,"83,000","39,766,002",0.004,410
"2022-03-15,二",479,479.7,477.69,477.7,-0.27%,0.42%,"77,217","36,989,354",0.004,389
"2022-03-15,二",476.96,478.07,476.5,478.07,0.08%,0.33%,"55,700","26,586,776",0.003,306
"2022-03-15,二",478.33,479.89,478.29,479.89,0.38%,0.33%,"70,000","33,562,696",0.003,417
"2022-03-15,二",479.99,480.46,477.8,480.06,0.04%,0.55%,"168,660","80,949,848",0.008,851
"2022-03-15,二",480,480.46,479.52,480.14,0.02%,0.20%,"89,100","42,787,736",0.004,517
