时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-04-29,五",394,394,394,394,1.68%,0.00%,"194,400","76,593,600",0.01,502
"2022-04-29,五",393,394,388.05,388.54,-1.39%,1.51%,"848,454","331,545,970",0.042,2546
"2022-04-29,五",387.77,388,381.2,381.43,-1.83%,1.75%,"401,246","154,045,020",0.02,1697
"2022-04-29,五",381.28,381.28,378,378,-0.90%,0.86%,"397,400","151,018,830",0.019,1703
"2022-04-29,五",378.91,380.13,378.53,380.01,0.53%,0.42%,"496,370","188,304,180",0.024,2029
"2022-04-29,五",380.95,381.5,380,380.31,0.08%,0.39%,"307,895","117,163,680",0.015,1577
"2022-04-29,五",380.49,380.58,379.4,379.48,-0.22%,0.31%,"262,208","99,620,870",0.013,1351
"2022-04-29,五",379.4,379.4,378.05,378.18,-0.34%,0.36%,"372,196","141,022,610",0.018,1413
"2022-04-29,五",378.12,379.01,378,378.52,0.09%,0.27%,"314,232","118,928,740",0.015,1293
"2022-04-29,五",378.5,378.94,377.86,377.86,-0.17%,0.29%,"281,300","106,391,500",0.014,1297
"2022-04-29,五",377.9,379.3,377.66,379.28,0.38%,0.43%,"295,796","111,911,500",0.015,1114
"2022-04-29,五",380.25,380.25,378.04,379.16,-0.03%,0.58%,"252,700","95,824,000",0.012,1135
"2022-04-29,五",379.24,379.69,377.58,377.58,-0.42%,0.56%,"261,110","98,860,900",0.013,1247
"2022-04-29,五",377.64,377.64,376.42,377,-0.15%,0.32%,"442,007","166,691,200",0.022,1548
"2022-04-29,五",376.52,376.88,375.53,375.59,-0.37%,0.36%,"270,800","101,879,100",0.013,1065
"2022-04-29,五",375.5,375.85,375.5,375.63,0.01%,0.09%,"202,205","75,948,600",0.01,990
"2022-04-29,五",375.57,375.57,375.32,375.32,-0.08%,0.07%,"185,400","69,604,300",0.009,1028
"2022-04-29,五",375.63,377.85,375.34,377.5,0.58%,0.67%,"220,905","83,039,100",0.011,789
"2022-04-29,五",377.06,377.5,376.5,376.62,-0.23%,0.26%,"197,798","74,548,400",0.01,855
"2022-04-29,五",376.59,379.01,376.57,379.01,0.63%,0.65%,"155,837","58,868,000",0.008,763
"2022-04-29,五",379.81,380,379.3,379.3,0.08%,0.18%,"118,300","44,904,700",0.006,697
"2022-04-29,五",379.36,379.63,378.37,379.55,0.07%,0.33%,"165,304","62,667,100",0.008,859
"2022-04-29,五",379.31,380,379.11,379.23,-0.08%,0.23%,"162,300","61,598,000",0.008,806
"2022-04-29,五",380,380.5,379.44,380.2,0.26%,0.28%,"152,216","57,855,500",0.007,610
"2022-04-29,五",380.25,381.08,380.25,380.9,0.18%,0.22%,"120,506","45,901,800",0.006,651
"2022-04-29,五",380.81,380.81,378.85,378.85,-0.54%,0.51%,"131,985","50,093,700",0.006,602
"2022-04-29,五",378.85,379.64,378.26,378.79,-0.02%,0.36%,"121,000","45,828,800",0.006,625
