时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-03-31,四",515.15,515.15,515.15,515.15,-0.74%,0.00%,"80,800","41,624,120",0.004,360
"2022-03-31,四",515.15,517.5,514,517,0.36%,0.68%,"299,149","154,224,390",0.015,1344
"2022-03-31,四",515.83,515.83,514.53,515.7,-0.25%,0.25%,"124,417","64,124,680",0.006,764
"2022-03-31,四",515.54,518,515.53,515.9,0.04%,0.48%,"152,400","78,697,732",0.007,662
"2022-03-31,四",516.67,516.98,515.9,516.45,0.11%,0.21%,"151,600","78,286,591",0.007,574
"2022-03-31,四",516.9,516.9,514.5,514.52,-0.37%,0.46%,"98,600","50,853,757",0.005,477
"2022-03-31,四",514.52,515.05,513.71,513.88,-0.12%,0.26%,"90,600","46,606,410",0.004,589
"2022-03-31,四",513.34,514.3,513.13,513.98,0.02%,0.23%,"121,286","62,279,942",0.006,683
"2022-03-31,四",514.57,516,513.98,514.81,0.16%,0.39%,"63,700","32,815,036",0.003,401
"2022-03-31,四",514.48,514.76,512.12,513,-0.35%,0.51%,"139,686","71,696,849",0.007,685
"2022-03-31,四",514,515,513,515,0.39%,0.39%,"53,435","27,467,696",0.003,322
"2022-03-31,四",515,515,513.59,514.01,-0.19%,0.27%,"67,900","34,923,615",0.003,413
"2022-03-31,四",514,515.98,514,514.99,0.19%,0.39%,"81,875","42,166,028",0.004,442
"2022-03-31,四",515,515,512.62,512.62,-0.46%,0.46%,"52,800","27,114,806",0.003,371
"2022-03-31,四",512.99,515,512.51,513,0.07%,0.49%,"69,488","35,663,280",0.003,423
"2022-03-31,四",513.5,513.51,510.99,511.1,-0.37%,0.49%,"102,700","52,581,346",0.005,630
"2022-03-31,四",511.11,511.8,510.95,511.52,0.08%,0.17%,"58,100","29,707,371",0.003,382
"2022-03-31,四",511.5,511.71,511,511.05,-0.09%,0.14%,"46,400","23,723,941",0.002,345
"2022-03-31,四",511.06,512.52,510.78,512.16,0.22%,0.34%,"61,584","31,490,651",0.003,417
"2022-03-31,四",512.55,512.55,511.11,511.6,-0.11%,0.28%,"43,016","22,020,594",0.002,257
"2022-03-31,四",511.31,511.65,511.3,511.55,-0.01%,0.07%,"29,600","15,140,981",0.001,210
"2022-03-31,四",511.5,511.76,511,511.67,0.02%,0.15%,"85,379","43,654,882",0.004,474
"2022-03-31,四",511.67,512.37,511.15,511.26,-0.08%,0.24%,"50,000","25,588,667",0.002,344
"2022-03-31,四",511.2,512.67,510.89,511.2,-0.01%,0.35%,"65,336","33,418,593",0.003,365
"2022-03-31,四",511.2,511.2,508.38,508.38,-0.55%,0.55%,"193,900","98,863,360",0.01,850
"2022-03-31,四",508.33,509,508.1,509,0.12%,0.18%,"116,800","59,378,484",0.006,654
"2022-03-31,四",509.63,509.99,508.36,508.97,-0.01%,0.32%,"74,500","37,903,655",0.004,399
"2022-03-31,四",508.68,508.97,507.47,507.7,-0.25%,0.29%,"139,900","71,091,047",0.007,715
"2022-03-31,四",507.45,507.45,506.33,506.5,-0.24%,0.22%,"85,200","43,182,983",0.004,539
"2022-03-31,四",506.45,506.9,506.15,506.88,0.08%,0.15%,"100,400","50,858,967",0.005,593
"2022-03-31,四",506.85,506.85,506.15,506.15,-0.14%,0.14%,"57,000","28,865,972",0.003,345
"2022-03-31,四",506.18,506.26,504,506.26,0.02%,0.45%,"269,600","136,201,110",0.013,1262
"2022-03-31,四",505.82,506.5,505.82,506.5,0.05%,0.13%,"112,800","57,085,450",0.006,418
"2022-03-31,四",506.59,506.78,506.15,506.35,-0.03%,0.12%,"68,000","34,437,722",0.003,402
"2022-03-31,四",506.1,506.76,506.1,506.52,0.03%,0.13%,"45,200","22,895,000",0.002,245
"2022-03-31,四",506.52,507.7,506.2,507.41,0.18%,0.30%,"48,894","24,776,855",0.002,215
"2022-03-31,四",507.8,507.9,505.77,505.99,-0.28%,0.42%,"63,600","32,235,864",0.003,347
"2022-03-31,四",505.77,505.77,504.6,504.98,-0.20%,0.23%,"89,400","45,145,263",0.004,414
"2022-03-31,四",504.8,505.65,504.8,505.49,0.10%,0.17%,"46,400","23,445,164",0.002,252
"2022-03-31,四",505.08,505.49,504.89,504.97,-0.10%,0.12%,"30,100","15,200,789",0.001,221
"2022-03-31,四",504.97,504.98,503.45,503.5,-0.29%,0.30%,"116,100","58,530,955",0.006,713
"2022-03-31,四",503.5,504.05,503.44,504.05,0.11%,0.12%,"76,500","38,540,762",0.004,391
"2022-03-31,四",504,505.6,503.35,505.6,0.31%,0.45%,"60,000","30,225,419",0.003,414
"2022-03-31,四",505,505.59,504,505.2,-0.08%,0.31%,"74,500","37,575,631",0.004,405
"2022-03-31,四",505.2,505.96,505.17,505.88,0.13%,0.16%,"34,300","17,330,127",0.002,219
"2022-03-31,四",505.96,507,505.88,507,0.22%,0.22%,"41,900","21,204,816",0.002,241
"2022-03-31,四",506.51,506.97,505.01,505.01,-0.39%,0.39%,"81,900","41,458,103",0.004,464
"2022-03-31,四",505,505.2,504.58,504.62,-0.08%,0.12%,"51,100","25,801,665",0.003,347
"2022-03-31,四",504.62,505.41,504.58,504.63,0.00%,0.16%,"46,600","23,526,492",0.002,351
"2022-03-31,四",504.54,504.54,503.45,503.62,-0.20%,0.22%,"59,400","29,930,407",0.003,460
"2022-03-31,四",503.89,504.45,503.66,504.11,0.10%,0.16%,"39,600","19,954,625",0.002,280
"2022-03-31,四",504,504.86,503.91,503.91,-0.04%,0.19%,"40,820","20,588,353",0.002,289
"2022-03-31,四",504.48,504.85,503.6,503.86,-0.01%,0.25%,"52,300","26,358,703",0.003,346
"2022-03-31,四",503.7,503.9,503.18,503.3,-0.11%,0.14%,"53,700","27,035,961",0.003,364
"2022-03-31,四",503.66,506,503.66,505.08,0.35%,0.46%,"38,300","19,320,774",0.002,201
"2022-03-31,四",505.92,505.96,505.51,505.85,0.15%,0.09%,"19,400","9,812,461",0.001,128
"2022-03-31,四",505.86,505.87,505.16,505.17,-0.13%,0.14%,"18,300","9,249,907",0.001,132
"2022-03-31,四",505.33,507.25,505.17,506.88,0.34%,0.41%,"58,600","29,695,202",0.003,319
"2022-03-31,四",506.96,506.96,505.23,505.4,-0.29%,0.34%,"26,100","13,207,100",0.001,175
"2022-03-31,四",505.59,506.19,505.51,506.19,0.16%,0.13%,"18,600","9,407,330",0.001,123
"2022-03-31,四",506.19,506.3,504.3,504.63,-0.31%,0.40%,"36,600","18,501,621",0.002,232
"2022-03-31,四",504.62,504.64,503.8,503.8,-0.16%,0.17%,"44,700","22,531,656",0.002,285
"2022-03-31,四",503.76,503.87,503.15,503.56,-0.05%,0.14%,"60,300","30,359,271",0.003,407
"2022-03-31,四",503.87,504.85,503.6,504,0.09%,0.25%,"41,000","20,665,438",0.002,271
