时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-04-26,二",386.11,386.11,386.11,386.11,-1.02%,0.00%,"147,322","56,882,497",0.007,577
"2022-04-26,二",388,392,382.01,382.5,-0.93%,2.59%,"472,993","182,676,110",0.023,2178
"2022-04-26,二",382.77,383.12,382.13,383.11,0.16%,0.26%,"386,600","147,988,240",0.019,1770
"2022-04-26,二",382.06,382.52,380.96,381.05,-0.54%,0.41%,"306,715","117,054,248",0.015,1763
"2022-04-26,二",380.9,384.99,380.9,384.98,1.03%,1.07%,"307,875","117,792,125",0.015,1475
"2022-04-26,二",385,385.86,383,383.09,-0.49%,0.74%,"189,300","72,807,988",0.009,1192
"2022-04-26,二",382.89,383.28,382.58,382.58,-0.13%,0.18%,"151,400","57,961,313",0.007,950
"2022-04-26,二",382.63,383.44,382.55,382.99,0.11%,0.23%,"168,300","64,437,343",0.008,949
"2022-04-26,二",383.82,383.99,382.2,383.7,0.19%,0.47%,"205,200","78,580,849",0.01,1092
"2022-04-26,二",383.7,387.89,383.7,387.41,0.97%,1.09%,"173,600","66,931,792",0.009,930
"2022-04-26,二",387.5,387.5,386.5,386.58,-0.21%,0.26%,"160,600","62,156,332",0.008,835
"2022-04-26,二",386.5,386.5,385.66,386.1,-0.12%,0.22%,"118,000","45,566,980",0.006,691
"2022-04-26,二",386.3,387.49,386.3,386.59,0.13%,0.31%,"132,200","51,149,606",0.006,725
"2022-04-26,二",386.47,386.47,384.75,384.75,-0.48%,0.44%,"127,193","49,034,031",0.006,749
"2022-04-26,二",385,385,383.06,384,-0.19%,0.50%,"154,515","59,348,450",0.008,776
"2022-04-26,二",383,383.95,382.81,382.81,-0.31%,0.30%,"192,300","73,683,107",0.009,876
"2022-04-26,二",382.81,384.14,382.38,383.28,0.12%,0.46%,"145,734","55,810,368",0.007,889
"2022-04-26,二",383.26,383.51,382.74,382.74,-0.14%,0.20%,"98,100","37,589,107",0.005,605
"2022-04-26,二",382.89,384.06,382.57,383.01,0.07%,0.39%,"112,100","42,969,493",0.005,526
"2022-04-26,二",383.37,383.6,383.03,383.38,0.10%,0.15%,"81,700","31,323,229",0.004,448
"2022-04-26,二",383.38,384,382.9,383.32,-0.02%,0.29%,"203,200","77,883,512",0.01,752
"2022-04-26,二",383,383,382.1,382.4,-0.24%,0.23%,"151,200","57,840,315",0.007,710
"2022-04-26,二",382.48,384,382.48,383.7,0.34%,0.40%,"95,400","36,555,759",0.005,474
"2022-04-26,二",383.82,383.82,383.45,383.52,-0.05%,0.10%,"72,600","27,850,182",0.004,389
"2022-04-26,二",383.52,383.78,382.48,382.48,-0.27%,0.34%,"98,400","37,711,702",0.005,526
"2022-04-26,二",382.48,383.12,382.21,383,0.14%,0.24%,"46,000","17,598,981",0.002,309
"2022-04-26,二",383,383,381.94,381.94,-0.28%,0.28%,"98,000","37,461,182",0.005,572
"2022-04-26,二",382,382,381.23,381.31,-0.16%,0.20%,"94,740","36,134,738",0.005,568
"2022-04-26,二",381.3,381.7,380.78,380.79,-0.14%,0.24%,"121,660","46,372,904",0.006,703
"2022-04-26,二",380.3,380.77,379.2,380.18,-0.16%,0.41%,"289,908","110,171,553",0.014,1275
"2022-04-26,二",380,380,379,379.6,-0.15%,0.26%,"234,300","88,930,260",0.011,877
"2022-04-26,二",379.6,381,379.3,380.25,0.17%,0.45%,"161,500","61,355,243",0.008,825
"2022-04-26,二",380.4,381.33,380.39,380.43,0.05%,0.25%,"157,340","59,947,427",0.008,602
"2022-04-26,二",380.2,381,379.63,381,0.15%,0.36%,"140,200","53,306,003",0.007,707
"2022-04-26,二",380.99,381.33,380.99,381.3,0.08%,0.09%,"59,600","22,719,586",0.003,371
"2022-04-26,二",381.3,381.54,381.21,381.54,0.06%,0.09%,"91,800","35,005,270",0.005,465
"2022-04-26,二",381.49,382.88,381.49,382.6,0.28%,0.36%,"125,201","47,826,827",0.006,608
"2022-04-26,二",382.5,384.2,382.31,384.2,0.42%,0.49%,"67,800","25,983,475",0.003,413
"2022-04-26,二",384.44,385,384.2,384.48,0.07%,0.21%,"69,300","26,648,891",0.003,442
"2022-04-26,二",385,385.2,384.18,384.18,-0.08%,0.27%,"124,200","47,785,096",0.006,574
"2022-04-26,二",384.2,384.2,383,383,-0.31%,0.31%,"50,800","19,496,912",0.002,312
"2022-04-26,二",382.91,382.91,381.28,381.28,-0.45%,0.43%,"35,799","13,682,039",0.002,309
"2022-04-26,二",381.28,382.2,381.2,382.19,0.24%,0.26%,"47,000","17,943,456",0.002,319
"2022-04-26,二",382.03,382.03,381.2,381.22,-0.25%,0.22%,"64,300","24,534,973",0.003,370
"2022-04-26,二",381.03,381.27,380.7,381.23,0.00%,0.15%,"67,600","25,756,806",0.003,361
"2022-04-26,二",381.23,381.94,381.17,381.36,0.03%,0.20%,"34,000","12,968,566",0.002,258
"2022-04-26,二",381.36,382.61,381.36,381.95,0.15%,0.33%,"62,000","23,687,422",0.003,372
"2022-04-26,二",381.95,381.95,381.36,381.36,-0.15%,0.15%,"32,000","12,214,163",0.002,239
"2022-04-26,二",381.36,381.56,381.28,381.5,0.04%,0.07%,"27,300","10,411,635",0.001,198
"2022-04-26,二",381.56,384,381.51,384,0.66%,0.65%,"41,900","16,027,600",0.002,247
"2022-04-26,二",384,385,384,384.84,0.22%,0.26%,"72,600","27,913,073",0.004,426
"2022-04-26,二",385,385.99,385,385.9,0.28%,0.26%,"71,500","27,555,627",0.004,440
"2022-04-26,二",385.9,385.9,385.54,385.54,-0.09%,0.09%,"78,100","30,124,910",0.004,397
"2022-04-26,二",385.55,385.55,385.15,385.3,-0.06%,0.10%,"81,000","31,211,801",0.004,430
"2022-04-26,二",385.46,386.66,385.3,386.66,0.35%,0.35%,"72,000","27,778,564",0.004,449
"2022-04-26,二",386.69,387.95,386.69,387.95,0.33%,0.33%,"119,900","46,471,020",0.006,799
"2022-04-26,二",387.94,388,387.5,387.87,-0.02%,0.13%,"103,800","40,259,979",0.005,651
"2022-04-26,二",387.79,387.88,387.38,387.38,-0.13%,0.13%,"39,900","15,468,444",0.002,291
"2022-04-26,二",387.7,387.7,385.31,385.91,-0.38%,0.62%,"117,600","45,475,750",0.006,573
"2022-04-26,二",385.91,387.86,385.91,387.86,0.51%,0.51%,"35,240","13,639,132",0.002,241
"2022-04-26,二",387.88,389.42,387.88,389.42,0.40%,0.40%,"77,500","30,102,448",0.004,474
"2022-04-26,二",389.65,389.88,388.44,388.44,-0.25%,0.37%,"109,600","42,680,001",0.005,691
"2022-04-26,二",388.58,389.8,388.58,389.8,0.35%,0.31%,"48,300","18,793,177",0.002,342
"2022-04-26,二",389.82,389.82,388.6,388.65,-0.30%,0.31%,"100,900","39,292,931",0.005,618
"2022-04-26,二",388.76,388.9,388.65,388.76,0.03%,0.06%,"32,300","12,557,023",0.002,242
"2022-04-26,二",388.73,388.73,387.44,388.02,-0.19%,0.33%,"79,800","30,959,713",0.004,523
"2022-04-26,二",387.45,388,387.45,387.98,-0.01%,0.14%,"59,500","23,083,435",0.003,407
"2022-04-26,二",388,388.87,387.98,388.8,0.21%,0.23%,"89,300","34,692,787",0.004,478
"2022-04-26,二",389.11,389.11,388,388.45,-0.09%,0.29%,"83,300","32,363,443",0.004,455
"2022-04-26,二",388.4,389.2,388.4,388.58,0.03%,0.21%,"57,101","22,195,782",0.003,346
"2022-04-26,二",388.63,388.63,387.93,387.94,-0.16%,0.18%,"40,399","15,681,134",0.002,322
"2022-04-26,二",387.8,387.95,386.65,386.75,-0.31%,0.34%,"74,160","28,723,254",0.004,451
"2022-04-26,二",386.75,386.75,386.06,386.5,-0.06%,0.18%,"30,600","11,829,684",0.002,253
"2022-04-26,二",386.48,387.95,386.48,387.78,0.33%,0.38%,"53,400","20,677,770",0.003,329
"2022-04-26,二",387.99,389.25,387.99,389.13,0.35%,0.32%,"85,800","33,331,615",0.004,409
"2022-04-26,二",389.58,389.98,389,389.12,0.00%,0.25%,"90,400","35,228,986",0.004,513
"2022-04-26,二",389.19,389.21,388.15,388.24,-0.23%,0.27%,"47,300","18,388,487",0.002,338
"2022-04-26,二",388.17,388.26,387,387.97,-0.07%,0.32%,"66,100","25,640,095",0.003,447
"2022-04-26,二",388.1,388.1,387,387.61,-0.09%,0.28%,"46,600","18,062,610",0.002,398
"2022-04-26,二",387.23,387.23,386,386.5,-0.29%,0.32%,"56,500","21,843,622",0.003,448
"2022-04-26,二",386.42,387.78,386.16,387.78,0.33%,0.42%,"36,100","13,961,535",0.002,286
"2022-04-26,二",387.83,387.83,386.05,386.08,-0.44%,0.46%,"78,200","30,242,628",0.004,571
"2022-04-26,二",386.08,386.46,385.31,385.55,-0.14%,0.30%,"51,800","19,992,291",0.003,392
"2022-04-26,二",385.77,386,385.4,386,0.12%,0.16%,"29,900","11,531,923",0.001,216
"2022-04-26,二",386,387,385.9,386,0.00%,0.28%,"69,100","26,685,975",0.003,412
"2022-04-26,二",386.01,386.01,385.59,385.6,-0.10%,0.11%,"21,300","8,217,752",0.001,169
"2022-04-26,二",385.6,385.8,385.54,385.68,0.02%,0.07%,"23,100","8,907,458",0.001,177
"2022-04-26,二",385.71,385.79,385.02,385.11,-0.15%,0.20%,"44,600","17,187,188",0.002,308
"2022-04-26,二",385.33,387.1,385.1,387.1,0.52%,0.52%,"93,100","35,947,671",0.005,422
"2022-04-26,二",387.04,387.5,386.3,386.72,-0.10%,0.31%,"26,500","10,251,380",0.001,201
"2022-04-26,二",386.72,387.09,386.72,386.78,0.02%,0.10%,"44,700","17,302,672",0.002,316
"2022-04-26,二",386.78,386.78,386.24,386.3,-0.12%,0.14%,"43,400","16,773,107",0.002,309
"2022-04-26,二",386.3,386.3,385.46,385.46,-0.22%,0.22%,"41,100","15,863,869",0.002,293
"2022-04-26,二",385.46,385.46,385,385.31,-0.04%,0.12%,"39,800","15,333,216",0.002,266
"2022-04-26,二",385.31,386.48,385.3,386.48,0.30%,0.31%,"22,300","8,602,181",0.001,186
"2022-04-26,二",386.5,387.99,386.29,387.47,0.26%,0.44%,"69,600","26,937,500",0.003,381
"2022-04-26,二",387.14,387.94,386.93,387,-0.12%,0.26%,"55,100","21,336,397",0.003,296
"2022-04-26,二",387.67,388.79,387.67,388.79,0.46%,0.29%,"49,000","19,017,975",0.002,337
"2022-04-26,二",388.79,388.84,388.5,388.79,0.00%,0.09%,"38,000","14,769,769",0.002,316
"2022-04-26,二",388.79,388.97,388.26,388.57,-0.06%,0.18%,"41,800","16,249,222",0.002,302
"2022-04-26,二",388.58,389.2,388.29,389.18,0.16%,0.23%,"76,261","29,649,988",0.004,436
"2022-04-26,二",389.21,389.21,387.8,387.95,-0.32%,0.36%,"49,400","19,193,686",0.002,380
"2022-04-26,二",387.95,387.95,387.06,387.84,-0.03%,0.23%,"24,700","9,576,369",0.001,192
"2022-04-26,二",387.78,388.9,387.74,388.6,0.20%,0.30%,"37,200","14,450,689",0.002,258
"2022-04-26,二",388.5,388.95,388.48,388.74,0.04%,0.12%,"47,500","18,461,746",0.002,278
"2022-04-26,二",388.9,388.95,388.66,388.92,0.05%,0.07%,"33,089","12,866,421",0.002,214
"2022-04-26,二",388.92,388.92,388.57,388.63,-0.07%,0.09%,"25,600","9,951,997",0.001,211
"2022-04-26,二",388.46,389.49,388.35,389.42,0.20%,0.29%,"55,700","21,674,670",0.003,312
"2022-04-26,二",389.47,389.6,388.61,388.61,-0.21%,0.25%,"44,300","17,235,149",0.002,287
"2022-04-26,二",388.61,389.1,388.28,389.1,0.13%,0.21%,"28,400","11,039,617",0.001,192
"2022-04-26,二",389.15,389.6,389.15,389.6,0.13%,0.12%,"31,600","12,306,522",0.002,192
"2022-04-26,二",389.67,389.7,389.15,389.37,-0.06%,0.14%,"55,502","21,610,854",0.003,371
"2022-04-26,二",389.37,389.6,389.3,389.6,0.06%,0.08%,"33,098","12,888,063",0.002,263
