时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-04-22,五",408,408,408,408,-0.27%,0.00%,"239,100","97,552,800",0.012,680
"2022-04-22,五",407.02,409.99,405,409,0.25%,1.22%,"556,883","227,187,340",0.027,2356
"2022-04-22,五",410.28,413.5,410,413.4,1.08%,0.86%,"609,776","251,008,910",0.03,2685
"2022-04-22,五",412.66,414.11,412.37,413.7,0.07%,0.42%,"290,264","119,945,407",0.014,1565
"2022-04-22,五",413.86,415.55,413.86,415.45,0.42%,0.41%,"389,400","161,441,200",0.019,1854
"2022-04-22,五",415,416.94,415,416.77,0.32%,0.47%,"567,294","236,053,520",0.028,2291
"2022-04-22,五",416.8,416.97,415.1,415.1,-0.40%,0.45%,"390,200","162,507,740",0.019,1877
"2022-04-22,五",415.1,415.11,414.02,414.27,-0.20%,0.26%,"316,706","131,369,385",0.016,1840
"2022-04-22,五",414.52,414.52,413.18,413.3,-0.23%,0.32%,"210,400","87,041,368",0.01,1047
"2022-04-22,五",413.53,414.84,413.2,414.84,0.37%,0.40%,"256,850","106,253,273",0.013,1136
"2022-04-22,五",414.25,415,413.32,413.9,-0.23%,0.40%,"210,783","87,312,724",0.01,1070
"2022-04-22,五",413.32,413.9,412.71,412.71,-0.29%,0.29%,"136,874","56,568,499",0.007,836
"2022-04-22,五",413,413,411.14,411.61,-0.27%,0.45%,"174,426","71,886,719",0.009,927
"2022-04-22,五",411.58,411.65,411,411.3,-0.08%,0.16%,"126,400","52,015,338",0.006,705
"2022-04-22,五",411.58,411.58,409.5,410.19,-0.27%,0.51%,"142,900","58,616,105",0.007,784
"2022-04-22,五",410.59,412,410.59,411.86,0.41%,0.34%,"106,401","43,773,747",0.005,561
"2022-04-22,五",412,412.99,411.7,411.7,-0.04%,0.31%,"108,400","44,683,109",0.005,628
"2022-04-22,五",411.5,411.5,410.16,410.16,-0.37%,0.33%,"81,400","33,430,088",0.004,564
"2022-04-22,五",410,412,410,411.7,0.38%,0.49%,"96,514","39,628,638",0.005,585
"2022-04-22,五",412,412.88,411.5,412.59,0.22%,0.34%,"108,197","44,615,930",0.005,630
"2022-04-22,五",412.88,413.77,412.58,413.74,0.28%,0.29%,"132,400","54,686,208",0.006,676
"2022-04-22,五",413.5,414.51,413.06,414.51,0.19%,0.35%,"125,000","51,736,500",0.006,789
"2022-04-22,五",414.6,415.32,414.51,415.32,0.20%,0.20%,"171,700","71,234,181",0.008,1029
"2022-04-22,五",415.3,417.5,415.3,417.5,0.52%,0.53%,"307,620","128,154,327",0.015,1682
"2022-04-22,五",417.68,418.2,417.5,417.5,0.00%,0.17%,"295,000","123,262,279",0.014,1573
"2022-04-22,五",417.5,417.5,415.5,416.08,-0.34%,0.48%,"124,800","51,969,944",0.006,794
