时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-04-21,四",411.88,411.88,411.88,411.88,1.20%,0.00%,"230,000","94,732,400",0.011,704
"2022-04-21,四",411.9,413,407,411.07,-0.20%,1.46%,"853,800","350,776,560",0.042,3112
"2022-04-21,四",410.36,412.8,410.36,412.71,0.40%,0.59%,"242,975","100,056,365",0.012,1433
"2022-04-21,四",413,414.08,412.91,413,0.07%,0.28%,"340,200","140,669,610",0.017,1817
"2022-04-21,四",412.92,413.52,412.92,413,0.00%,0.15%,"271,000","111,985,646",0.013,1362
"2022-04-21,四",413.1,413.13,412,412.12,-0.21%,0.27%,"195,000","80,480,412",0.01,982
"2022-04-21,四",412.8,412.8,412,412.4,0.07%,0.19%,"215,350","88,807,200",0.011,931
"2022-04-21,四",412.18,412.18,409.51,409.51,-0.70%,0.65%,"185,700","76,259,839",0.009,865
"2022-04-21,四",409.46,413,409.46,412.89,0.83%,0.86%,"354,062","145,436,420",0.017,1509
"2022-04-21,四",413.16,415.97,412.89,415.97,0.75%,0.75%,"419,700","173,813,190",0.021,2012
"2022-04-21,四",416.36,416.76,415.02,415.1,-0.21%,0.42%,"274,450","114,116,604",0.013,1272
"2022-04-21,四",415.28,415.28,414.77,414.96,-0.03%,0.12%,"217,690","90,354,976",0.011,1096
"2022-04-21,四",414.96,416.02,414.96,415.98,0.25%,0.26%,"217,780","90,504,005",0.011,1079
"2022-04-21,四",415.98,416,415.7,415.9,-0.02%,0.07%,"149,900","62,347,121",0.007,812
"2022-04-21,四",415.7,415.7,414.47,415.07,-0.20%,0.30%,"134,200","55,705,576",0.007,764
"2022-04-21,四",415.62,416.58,415.05,416.58,0.36%,0.37%,"153,100","63,681,390",0.008,903
"2022-04-21,四",416.68,417.5,415,415,-0.38%,0.60%,"235,200","97,981,416",0.012,1219
"2022-04-21,四",415.02,415.02,414.13,414.13,-0.21%,0.21%,"115,400","47,876,738",0.006,518
"2022-04-21,四",414.01,414.01,412.3,412.5,-0.39%,0.41%,"130,700","54,030,538",0.006,587
"2022-04-21,四",412.3,413.37,412.3,413.2,0.17%,0.26%,"115,500","47,693,261",0.006,490
"2022-04-21,四",413.5,413.5,411.37,411.5,-0.41%,0.52%,"212,100","87,366,875",0.01,880
"2022-04-21,四",411.6,411.6,410.63,410.88,-0.15%,0.24%,"142,200","58,464,960",0.007,491
"2022-04-21,四",410.63,410.8,410.53,410.57,-0.08%,0.07%,"108,600","44,594,230",0.005,537
"2022-04-21,四",410.55,412.46,410.55,412.44,0.46%,0.47%,"150,910","62,073,744",0.007,672
"2022-04-21,四",412.44,412.44,410.64,411.5,-0.23%,0.44%,"120,900","49,772,421",0.006,403
"2022-04-21,四",411.1,411.49,410.64,410.64,-0.21%,0.21%,"52,200","21,452,300",0.003,279
"2022-04-21,四",410.57,411,410.29,410.77,0.03%,0.17%,"107,300","44,060,491",0.005,473
"2022-04-21,四",410.77,410.77,410,410,-0.19%,0.19%,"69,650","28,581,130",0.003,431
"2022-04-21,四",410,410,409,409,-0.24%,0.24%,"58,750","24,053,494",0.003,406
"2022-04-21,四",409,409.3,408.67,409.29,0.07%,0.15%,"116,850","47,777,148",0.006,673
"2022-04-21,四",409.1,409.1,408.28,408.28,-0.25%,0.20%,"69,850","28,552,474",0.003,432
"2022-04-21,四",408.25,411.46,408.25,411.46,0.78%,0.79%,"148,203","60,690,330",0.007,765
"2022-04-21,四",411.46,411.47,409.45,409.66,-0.44%,0.49%,"66,500","27,307,665",0.003,359
"2022-04-21,四",409.45,410.38,409.33,410.38,0.18%,0.26%,"86,100","35,283,135",0.004,427
