时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-03-17,四",517.5,517.5,517.5,517.5,2.86%,0.00%,"435,014","225,119,750",0.021,1168
"2022-03-17,四",517,521.96,515.1,521.77,0.83%,1.33%,"1,236,553","640,493,530",0.061,4200
"2022-03-17,四",520.5,526.75,520.5,526.53,0.91%,1.20%,"1,022,385","535,674,440",0.05,3533
"2022-03-17,四",526,528.21,524,527.21,0.13%,0.80%,"1,195,658","628,872,530",0.059,3688
"2022-03-17,四",527.55,529.99,527.55,529.91,0.51%,0.46%,"735,350","388,752,720",0.036,2492
"2022-03-17,四",529.95,530.02,527.18,528.21,-0.32%,0.54%,"676,999","358,126,310",0.033,2495
"2022-03-17,四",529,529,525.58,525.6,-0.49%,0.65%,"430,200","226,579,920",0.021,1403
"2022-03-17,四",525.58,525.58,523.02,524.8,-0.15%,0.49%,"453,184","237,812,220",0.022,1757
"2022-03-17,四",524.44,527,524.44,527,0.42%,0.49%,"264,710","139,142,630",0.013,1185
"2022-03-17,四",526.47,526.47,524.79,524.79,-0.42%,0.32%,"624,654","328,296,730",0.031,1908
"2022-03-17,四",525,525.47,520.51,520.51,-0.82%,0.95%,"381,900","200,145,790",0.019,1216
"2022-03-17,四",520.97,523,520.19,522.81,0.44%,0.54%,"339,300","176,854,870",0.017,1320
"2022-03-17,四",522.03,522.03,518.57,518.85,-0.76%,0.66%,"393,077","204,277,860",0.019,1564
"2022-03-17,四",519.28,520.98,518.85,520.36,0.29%,0.41%,"200,613","104,262,391",0.01,900
"2022-03-17,四",520.43,521,519.3,521,0.12%,0.33%,"266,172","138,388,000",0.013,1064
"2022-03-17,四",520.11,521.2,520.11,521.07,0.01%,0.21%,"168,900","87,940,206",0.008,789
"2022-03-17,四",520.97,521.46,519.99,519.99,-0.21%,0.28%,"200,500","104,417,432",0.01,808
"2022-03-17,四",519.99,521.88,519.61,521.88,0.36%,0.44%,"246,300","128,139,193",0.012,908
"2022-03-17,四",521.89,524.5,521.89,523.99,0.40%,0.50%,"152,700","79,952,230",0.007,650
"2022-03-17,四",523.98,524.76,523,524.76,0.15%,0.34%,"233,320","122,181,993",0.011,998
"2022-03-17,四",524.87,526.9,524.78,526.9,0.41%,0.40%,"257,980","135,579,010",0.013,1048
"2022-03-17,四",526.99,527,524.9,525.24,-0.32%,0.40%,"261,700","137,592,850",0.013,931
"2022-03-17,四",525,526,525,525.92,0.13%,0.19%,"210,113","110,479,641",0.01,727
"2022-03-17,四",525.93,525.93,524,524.2,-0.33%,0.37%,"140,787","73,860,668",0.007,616
