时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-04-06,三",516.52,516.52,516.52,516.52,-0.46%,0.00%,"91,419","47,219,742",0.004,398
"2022-04-06,三",515.99,517.35,515,515.89,-0.12%,0.45%,"304,081","156,958,020",0.015,1079
"2022-04-06,三",515,515.99,513.11,515.01,-0.17%,0.56%,"168,900","86,900,850",0.008,667
"2022-04-06,三",515.01,515.01,513.01,513.3,-0.33%,0.39%,"99,000","50,878,780",0.005,554
"2022-04-06,三",513.4,513.4,511.2,511.87,-0.28%,0.43%,"162,614","83,271,420",0.008,677
"2022-04-06,三",511.66,513.7,510.63,510.63,-0.24%,0.60%,"99,986","51,169,920",0.005,621
"2022-04-06,三",511,511.4,510.21,510.36,-0.05%,0.23%,"107,414","54,861,340",0.005,561
"2022-04-06,三",510.3,510.36,507.99,508.51,-0.36%,0.46%,"156,083","79,447,660",0.008,900
"2022-04-06,三",508,508.9,508,508.9,0.08%,0.18%,"158,351","80,526,950",0.008,631
"2022-04-06,三",508.9,509.05,506.67,506.67,-0.44%,0.47%,"144,666","73,447,700",0.007,789
"2022-04-06,三",506.66,508,506.4,507.31,0.13%,0.32%,"95,235","48,293,740",0.005,536
"2022-04-06,三",507.3,507.3,506.3,506.79,-0.10%,0.20%,"160,000","81,074,450",0.008,845
"2022-04-06,三",506.3,509.48,506.3,509.48,0.53%,0.63%,"130,887","66,468,870",0.006,659
"2022-04-06,三",509.82,510.5,509.82,509.82,0.07%,0.13%,"66,400","33,878,930",0.003,360
"2022-04-06,三",510,510.08,509,509,-0.16%,0.21%,"94,270","48,058,680",0.005,414
"2022-04-06,三",510.08,512.56,509.05,511.98,0.59%,0.69%,"103,100","52,705,520",0.005,461
"2022-04-06,三",511.47,511.96,509.51,509.51,-0.48%,0.48%,"74,700","38,146,450",0.004,388
"2022-04-06,三",509.5,510.5,509.07,509.07,-0.09%,0.28%,"38,200","19,477,880",0.002,277
"2022-04-06,三",509.02,509.15,507.23,507.47,-0.31%,0.38%,"86,900","44,190,520",0.004,539
"2022-04-06,三",507.21,508.3,507.21,507.79,0.06%,0.21%,"76,000","38,571,950",0.004,409
"2022-04-06,三",507.99,508.8,507.74,508.05,0.05%,0.21%,"96,700","49,126,770",0.005,468
"2022-04-06,三",508.74,508.74,506.71,506.73,-0.26%,0.40%,"74,100","37,604,060",0.004,474
"2022-04-06,三",506.5,507.32,506.5,507.1,0.07%,0.16%,"77,000","39,016,600",0.004,453
"2022-04-06,三",506.88,508.75,506.88,507.5,0.08%,0.37%,"43,300","21,959,500",0.002,243
"2022-04-06,三",508.3,508.75,507.3,507.5,0.00%,0.29%,"49,300","25,030,400",0.002,292
"2022-04-06,三",507.99,508.75,507.3,507.49,0.00%,0.29%,"62,000","31,472,800",0.003,374
"2022-04-06,三",507.49,507.94,507.1,507.1,-0.08%,0.17%,"33,600","17,051,000",0.002,202
"2022-04-06,三",507.1,507.95,506.89,507.11,0.00%,0.21%,"51,900","26,327,500",0.003,371
"2022-04-06,三",507,507.56,507,507.56,0.09%,0.11%,"23,700","12,021,400",0.001,164
"2022-04-06,三",507.45,508.98,507.45,508,0.09%,0.30%,"43,700","22,200,400",0.002,245
"2022-04-06,三",508,508,507,507.5,-0.10%,0.20%,"57,300","29,076,700",0.003,273
"2022-04-06,三",507.48,507.48,506,506,-0.30%,0.29%,"129,100","65,378,600",0.006,705
"2022-04-06,三",506,506.18,505.02,505.34,-0.13%,0.23%,"115,200","58,241,800",0.006,614
"2022-04-06,三",505.3,506.36,505.04,506.3,0.19%,0.26%,"59,500","30,081,300",0.003,305
"2022-04-06,三",506.51,506.51,506.27,506.34,0.01%,0.05%,"29,200","14,784,000",0.001,128
"2022-04-06,三",506.29,508.69,506.05,507.85,0.30%,0.52%,"37,400","18,964,800",0.002,214
"2022-04-06,三",507.53,507.94,507.16,507.31,-0.11%,0.15%,"21,800","11,065,600",0.001,133
"2022-04-06,三",507,507.31,506,507,-0.06%,0.26%,"38,850","19,680,000",0.002,247
"2022-04-06,三",506.98,507.29,506.12,506.98,0.00%,0.23%,"16,800","8,515,100",0.001,115
"2022-04-06,三",506.98,508,506.6,507.7,0.14%,0.28%,"54,000","27,386,700",0.003,162
"2022-04-06,三",507.69,508,507,507.59,-0.02%,0.20%,"25,900","13,142,600",0.001,152
"2022-04-06,三",507.5,508,507,507.87,0.06%,0.20%,"10,600","5,379,700",0.001,89
"2022-04-06,三",507.75,509.99,507.75,509.88,0.40%,0.44%,"40,300","20,497,300",0.002,192
"2022-04-06,三",509.79,509.79,508.95,508.99,-0.17%,0.16%,"23,000","11,713,300",0.001,145
"2022-04-06,三",507.88,509,507.75,507.91,-0.21%,0.25%,"35,663","18,128,300",0.002,186
"2022-04-06,三",508.1,508.97,507.85,507.85,-0.01%,0.22%,"37,900","19,261,500",0.002,161
"2022-04-06,三",507.96,507.96,507.71,507.71,-0.03%,0.05%,"13,700","6,957,100",0.001,91
"2022-04-06,三",507.7,508.1,507.7,507.98,0.05%,0.08%,"18,700","9,497,500",0.001,122
"2022-04-06,三",507.8,508.96,507.7,508.39,0.08%,0.25%,"16,800","8,535,200",0.001,110
"2022-04-06,三",508.39,508.39,507.17,507.17,-0.24%,0.24%,"25,100","12,741,100",0.001,168
"2022-04-06,三",507.1,507.4,507.01,507.01,-0.03%,0.08%,"14,900","7,556,300",0.001,99
"2022-04-06,三",507,507.08,506.76,506.78,-0.05%,0.06%,"21,400","10,848,400",0.001,145
"2022-04-06,三",506.8,507.66,506.8,507.66,0.17%,0.17%,"12,900","6,543,000",0.001,94
"2022-04-06,三",507.74,508,507,508,0.07%,0.20%,"19,700","9,998,900",0.001,134
"2022-04-06,三",507.99,507.99,507,507,-0.20%,0.19%,"11,400","5,783,000",0.001,98
"2022-04-06,三",506.99,507,506.6,506.69,-0.06%,0.08%,"30,737","15,580,000",0.002,156
"2022-04-06,三",506.69,506.69,506.13,506.28,-0.08%,0.11%,"15,063","7,627,300",0.001,127
"2022-04-06,三",506.36,506.36,506,506.34,0.01%,0.07%,"42,200","21,360,800",0.002,202
"2022-04-06,三",506.35,506.47,506.02,506.02,-0.06%,0.09%,"18,500","9,366,700",0.001,143
"2022-04-06,三",506.01,506.27,505.4,505.4,-0.12%,0.17%,"40,400","20,429,000",0.002,243
"2022-04-06,三",505.34,506.31,505.3,506,0.12%,0.20%,"29,344","14,836,500",0.001,197
"2022-04-06,三",505.4,507,505.4,506.02,0.00%,0.32%,"25,100","12,700,700",0.001,191
"2022-04-06,三",506.25,506.25,505.5,505.51,-0.10%,0.15%,"46,900","23,720,800",0.002,305
"2022-04-06,三",505.5,507.2,505.5,506.15,0.13%,0.34%,"33,300","16,839,000",0.002,209
"2022-04-06,三",505.84,506.49,505.51,505.51,-0.13%,0.19%,"21,400","10,828,600",0.001,168
"2022-04-06,三",505.61,506.35,505.5,506.35,0.17%,0.17%,"15,100","7,638,600",0.001,126
"2022-04-06,三",506.99,506.99,506.33,506.4,0.01%,0.13%,"20,900","10,585,400",0.001,137
"2022-04-06,三",506.68,507.44,506.4,506.81,0.08%,0.21%,"42,800","21,682,900",0.002,136
"2022-04-06,三",506.8,507.7,506.8,507.7,0.18%,0.18%,"17,700","8,980,000",0.001,88
"2022-04-06,三",507.93,508.08,507.92,508.04,0.07%,0.03%,"15,100","7,670,500",0.001,99
"2022-04-06,三",508.1,508.27,507.61,508.04,0.00%,0.13%,"15,800","8,025,000",0.001,112
"2022-04-06,三",508.08,508.08,507.63,507.63,-0.08%,0.09%,"11,300","5,739,300",0.001,92
"2022-04-06,三",507.6,507.6,506.51,506.58,-0.21%,0.21%,"14,700","7,453,100",0.001,96
"2022-04-06,三",506.58,506.92,506.4,506.73,0.03%,0.10%,"30,900","15,650,600",0.002,148
"2022-04-06,三",506.94,508.02,506.5,508.02,0.25%,0.30%,"20,100","10,194,400",0.001,108
"2022-04-06,三",508.02,508.02,507,508.01,0.00%,0.20%,"20,000","10,156,500",0.001,128
"2022-04-06,三",508,508,507.52,507.56,-0.09%,0.09%,"11,100","5,636,400",0.001,89
"2022-04-06,三",507.62,508.99,507.35,508.91,0.27%,0.32%,"20,350","10,332,600",0.001,131
"2022-04-06,三",508.2,508.2,507.62,507.9,-0.20%,0.11%,"7,900","4,013,100",0,68
"2022-04-06,三",507.9,507.9,506.72,507.12,-0.15%,0.23%,"27,200","13,795,000",0.001,155
"2022-04-06,三",507.09,507.09,506.5,506.7,-0.08%,0.12%,"15,200","7,703,500",0.001,102
